origin,destination,expanded_workers_2010,sample_records
3300100,2611606,10.7350664224131,1
3300100,2916609,6.8052254464738,1
3300100,2918506,10.3459339415942,1
3300100,3106200,32.9911763527782,3
3300100,3107505,5.9869935264373,1
3300100,3136702,10.4091015644975,1
3300100,3163706,11.1554267711781,1
3300100,3205309,11.4997010202958,1
3300100,3300100,56189.43550478803,5337
3300100,3300233,11.5926435260834,1
3300100,3300407,22.4993084414508,2
3300100,3300704,10.3704668987083,1
3300100,3301009,15.6797597851612,2
3300100,3301702,8.4027409736537,1
3300100,3302007,105.37711742433412,9
3300100,3302270,18.4796122785906,1
3300100,3302403,117.16163224741922,11
3300100,3302601,206.9467552754102,18
3300100,3302700,7.0941716636638,1
3300100,3303302,45.981217928552695,4
3300100,3303401,17.4975950188792,2
3300100,3303500,12.2463851073299,1
3300100,3303807,404.4350520983559,36
3300100,3304003,11.5080868842823,1
3300100,3304409,19.4332702572627,2
3300100,3304557,766.8414865854145,71
3300100,3304904,11.4398966513917,1
3300100,3305109,31.1532029741549,3
3300100,3306305,46.7019751585348,5
3300100,3399999,63.6614393174066,6
3300100,3510500,34.1299475807471,3
3300100,3525003,10.219668878966,1
3300100,3534401,10.9244991079446,1
3300100,3548500,24.732332648214403,3
3300100,3549904,45.405216007753296,4
3300100,3550308,48.10129324216629,4
3300100,3551009,8.688427864706,1
3300100,3552205,7.302089148984,1
3300100,3555406,23.014309668752198,2
3300100,4115705,13.5303769541019,1
3300100,4318101,13.2983098948102,1
3300100,8888888,15.162534667465,1
3300159,3101508,5.7682727962034,1
3300159,3106200,6.7047638824865,1
3300159,3151107,5.0304255205111,1
3300159,3300159,3184.437239863709,645
3300159,3300605,2.6356095889349,1
3300159,3300902,80.40965362540139,15
3300159,3301009,8.3943189608152,2
3300159,3301108,5.8277517574193,1
3300159,3301504,6.8116383476977,1
3300159,3302106,306.6625977117086,62
3300159,3302205,12.8386511396897,3
3300159,3302403,57.0204077331181,12
3300159,3303302,4.4900864045045,1
3300159,3303401,10.2558528802731,2
3300159,3304524,15.373230912647799,3
3300159,3304557,8.524297184691001,2
3300159,3304706,197.86391303384409,41
3300159,3304805,7.5661338551575,2
3300209,1200401,12.2170124787018,1
3300209,2606408,11.3538929589312,1
3300209,2920601,12.6918838381386,1
3300209,3202306,11.440454011053,1
3300209,3202405,15.775613973183,1
3300209,3205309,10.2100461300508,1
3300209,3300100,31.194703619027997,3
3300209,3300209,30524.754295945553,3030
3300209,3300233,105.9488203166706,11
3300209,3300258,61.9231951646179,6
3300209,3300456,26.7941632961676,2
3300209,3300704,962.0929283232672,99
3300209,3301009,65.5477064193177,7
3300209,3301306,11.5919095507945,1
3300209,3301405,12.1309325676612,1
3300209,3301702,30.080057321121302,3
3300209,3301876,379.3232307478031,36
3300209,3301900,18.7957639485499,2
3300209,3302007,11.2492638650519,1
3300209,3302106,7.9738908134223,1
3300209,3302205,11.966522068641,1
3300209,3302403,459.9199046082872,46
3300209,3302502,20.785940224278,2
3300209,3302700,20.8533798649752,2
3300209,3303203,33.2004383695708,3
3300209,3303302,494.59089819188944,50
3300209,3303401,9.5952190921637,1
3300209,3303500,7.023060792971,1
3300209,3303906,20.7175381774876,2
3300209,3304110,15.1133499266276,2
3300209,3304201,19.767275339187,2
3300209,3304300,100.39969637247569,9
3300209,3304524,115.1254282875217,13
3300209,3304557,1834.8018709360836,192
3300209,3304904,93.61979945409671,10
3300209,3305109,8.5234974921479,1
3300209,3305208,460.27975462455515,43
3300209,3305505,435.14245113060235,41
3300209,3305604,38.8844707042923,4
3300209,3305752,8.4367666472746,1
3300209,3306206,10.6598218291896,1
3300209,3509502,11.7199766495855,1
3300209,3550308,17.0287069998259,2
3300209,4314902,4.8903713351321,1
3300209,8888888,55.322738686480804,6
3300225,2608909,5.2910835157448,1
3300225,3106200,4.4359729163811,1
3300225,3112059,6.1037865676596,1
3300225,3115300,5.8199529911666,1
3300225,3116209,6.4516332752239,1
3300225,3136702,5.5406637771629,1
3300225,3300100,6.4423258114817,1
3300225,3300225,2866.863665423961,548
3300225,3300951,10.1404377303931,2
3300225,3301108,5.2248022322896,1
3300225,3301702,11.6592360887418,2
3300225,3302007,5.7386867917484,1
3300225,3302205,3.3525596390887,1
3300225,3302403,4.0744061924034,1
3300225,3303708,31.0289408138067,6
3300225,3303906,888.6763657156947,172
3300225,3304201,5.7955126974303,1
3300225,3304557,100.72259405523681,19
3300225,3305158,9.2848867718438,2
3300225,3305802,4.1508354708211,1
3300225,3306008,178.63562203286307,34
3300225,3306206,5.5134638724315,1
3300225,5103403,4.4399160221943,1
3300233,3300233,9993.02925155396,1004
3300233,3300258,11.5475572770538,1
3300233,3300704,258.23751343906446,23
3300233,3301009,12.330643668721,1
3300233,3302403,10.1100994853743,1
3300233,3302700,12.756857968218,1
3300233,3304524,26.5180874174891,3
3300233,3304557,159.72680766928542,17
3300233,3305208,21.933447010733502,2
3300258,2699999,8.2391710077461,1
3300258,2933307,10.116128114083,1
3300258,3300100,25.349769730240602,2
3300258,3300209,58.1022603084712,6
3300258,3300233,70.6220065233225,7
3300258,3300258,7691.468295759755,754
3300258,3300704,1057.5466106735892,105
3300258,3301009,32.6839143299812,3
3300258,3301306,9.7410075379942,1
3300258,3301702,46.534037538180904,5
3300258,3301876,9.3615012011483,1
3300258,3302007,6.7759108424984,1
3300258,3302403,323.0659370377551,31
3300258,3303302,38.4563548846677,4
3300258,3304524,10.9886739931497,1
3300258,3304557,393.66787905337304,40
3300258,3304904,12.2090092111091,2
3300258,3305208,102.0399701185618,10
3300258,3550308,10.5755834864612,1
3300308,3106200,8.1661175124672,1
3300308,3136702,7.9285912064881,1
3300308,3155900,9.8195004019488,1
3300308,3205309,8.5504051051513,1
3300308,3300100,175.91677989272767,17
3300308,3300308,25176.1120440118,2457
3300308,3300407,254.37424848454287,26
3300308,3300456,23.5283453031344,2
3300308,3301009,17.216191787998902,2
3300308,3301207,11.5821280077879,1
3300308,3301702,22.5166419190945,2
3300308,3301801,21.5414832939433,2
3300308,3302007,121.18498616010481,11
3300308,3302254,22.292108333117,3
3300308,3302270,10.0429396880049,1
3300308,3302403,61.7705900773277,5
