id,commuters
RES_0388,828
RES_0389,1111
RES_0390,2061
RES_0391,1995
RES_0392,386
RES_0393,2121
RES_0394,621
RES_0395,578
RES_0396,392
RES_0397,1620
RES_0398,499
RES_0399,186
RES_0400,523
RES_0401,3164
RES_0402,1822
RES_0403,129
RES_0404,844
RES_0405,225
RES_0406,121
RES_0407,704
RES_0408,328
RES_0409,222
RES_0410,321
RES_0411,491
RES_0412,618
RES_0413,513
RES_0414,322
RES_0415,346
RES_0416,1706
RES_0417,2319
RES_0418,367
RES_0419,1741
RES_0420,1040
RES_0421,418
RES_0422,170
RES_0423,590
RES_0424,33
RES_0425,294
RES_0426,548
RES_0427,35
RES_0428,419
RES_0429,326
RES_0430,99
RES_0431,82
RES_0432,1602
RES_0433,268
RES_0434,1676
RES_0435,2333
RES_0436,100
RES_0437,2016
RES_0438,694
RES_0439,327
RES_0440,135
RES_0441,360
RES_0442,200
RES_0443,89
RES_0444,570
RES_0445,64
RES_0446,2310
RES_0447,406
RES_0448,2820
RES_0449,975
RES_0450,408
RES_0451,1636
RES_0452,1205
RES_0453,225
RES_0454,544
RES_0455,325
RES_0456,528
RES_0457,135
RES_0458,158
RES_0459,222
RES_0460,316
RES_0461,532
RES_0462,748
RES_0463,495
RES_0464,122
RES_0465,1277
RES_0466,409
RES_0467,77
RES_0468,118
RES_0469,49
RES_0470,135
RES_0471,226
RES_0472,1341
RES_0473,56
RES_0474,199
RES_0475,73
RES_0476,176
RES_0477,60
RES_0478,283
RES_0479,127
RES_0480,14
RES_0481,626
RES_0482,491
RES_0483,745
RES_0484,769
RES_0485,453
RES_0486,556
RES_0487,105
RES_0488,422
RES_0489,1001
RES_0490,790
RES_0491,144
RES_0492,93
RES_0493,104
RES_0494,594
RES_0495,833
RES_0496,494
RES_0497,435
RES_0498,205
RES_0499,1395
RES_0500,1667
RES_0501,308
RES_0502,960
RES_0503,419
RES_0504,2154
RES_0505,1899
RES_0506,1097
RES_0507,1423
RES_0508,1616
RES_0509,118
RES_0510,56
RES_0511,1301
RES_0512,83
RES_0513,444
RES_0514,2082
RES_0515,353
RES_0516,298
RES_0517,1073
RES_0518,1473
RES_0519,2055
RES_0520,1685
RES_0521,977
RES_0522,437
RES_0523,1564
RES_0524,1641
RES_0525,1138
RES_0526,948
RES_0527,2124
RES_0528,759
RES_0529,259
RES_0530,168
RES_0531,483
RES_0532,155
RES_0533,51
RES_0534,118
RES_0535,417
RES_0536,118
RES_0537,585
RES_0538,155
RES_0539,282
RES_0540,557
RES_0541,284
RES_0542,768
RES_0543,1049
RES_0544,29
RES_0545,223
RES_0546,252
