origin,destination,observed_2010_expanded,observed_2022_pair,seed_from_2022_containment_2010_shares,balanced_target,change_from_seed,status
3300803,3304144,0.0,,0.0005792408513242548,1,0.9994207591486758,"historical 2010 survey prior, adjusted to modeled margins"
3300803,3304409,0.0,,2.6300472914840177e-08,0,-2.6300472914840177e-08,"historical 2010 survey prior, adjusted to modeled margins"
3300803,3304557,997.3182717057176,,29.96075134529563,22,-7.96075134529563,"historical 2010 survey prior, adjusted to modeled margins"
3300803,3304904,153.7302741270906,,4.614635816245627,0,-4.614635816245627,"historical 2010 survey prior, adjusted to modeled margins"
3300803,3305109,0.0,,0.0017340672253305662,0,-0.0017340672253305662,"historical 2010 survey prior, adjusted to modeled margins"
3300803,3305554,10.5659219519283,,0.317404902574516,1,0.682595097425484,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3300456,1567.603244064693,,1060.726185718617,1257,196.273814281383,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3300803,0.0,,0.0011071737718881172,0,-0.0011071737718881172,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3301702,166928.60341459495,,231937.79581891058,231938,0.20418108941521496,2022 local containment
3301702,3301801,0.0,,5.698366808182312e-06,0,-5.698366808182312e-06,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3301850,26.6710223019984,,9.960452881747361,151,141.03954711825264,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3301900,19.5864024769215,,13.450362659759872,42,28.54963734024013,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3302007,286.17587291318466,,194.19516563777938,624,429.8048343622206,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3302270,41.6683489669339,,28.56600629284187,230,201.43399370715812,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3302502,1178.5934279825328,,772.8368765440629,1492,719.1631234559371,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3302601,39.340799325289495,,0.10745698364666502,3,2.892543016353335,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3302700,63.7648624846148,,20.11986360061452,210,189.8801363993855,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3302809,0.0,,0.0,0,0.0,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3302858,76.3081585484079,,52.19515819460429,131,78.80484180539571,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3302908,0.0,,5.966790841152432e-07,0,-5.966790841152432e-07,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3303203,171.20714915222374,,116.29060620743506,96,-20.29060620743506,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3303302,1739.3626007722198,,1178.7783870054714,781,-397.77838700547136,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3303500,1536.2053004513575,,1041.257081261207,598,-443.2570812612071,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3303609,0.0,,0.2977708446696517,3,2.702229155330348,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3303906,445.66080666794295,,0.05920910961065023,7,6.94079089038935,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3304003,19.1212967206197,,5.350372188529419,673,667.6496278114706,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3304144,112.83517144513682,,76.87287637148677,173,96.12712362851323,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3304409,0.0,,2.9717237903151874e-05,0,-2.9717237903151874e-05,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3304557,97167.90762398766,,65686.31527242009,64889,-797.3152724200918,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3304904,224.1909839902925,,155.19225328867734,0,-155.19225328867734,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3305109,3241.793247851156,,2191.7397295239007,1207,-984.7397295239007,"historical 2010 survey prior, adjusted to modeled margins"
3301702,3305554,19.6755659960405,,13.81952752106298,51,37.18047247893702,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3300456,0.0,,0.0002931868083318562,0,-0.0002931868083318562,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3300803,0.0,,1.7691453425301488e-07,0,-1.7691453425301488e-07,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3301702,6.2616265764918,,0.09021613643832574,0,-0.09021613643832574,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3301801,3443.0440715119407,,0.215862699298323,0,-0.215862699298323,2022 local containment
3301801,3301850,0.0,,1.0887283032656137e-05,0,-1.0887283032656137e-05,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3301900,0.0,,0.0001691193257171473,0,-0.0001691193257171473,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3302007,61.6985673145759,,0.8819157214461829,0,-0.8819157214461829,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3302270,0.0,,6.706221591128703e-05,0,-6.706221591128703e-05,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3302502,0.0,,0.0001605622259648329,0,-0.0001605622259648329,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3302601,0.0,,2.0249678398885885e-09,0,-2.0249678398885885e-09,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3302700,0.0,,3.982270517093997e-05,0,-3.982270517093997e-05,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3302809,250.73833609585483,,0.0,0,0.0,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3302858,0.0,,0.00010389444979212948,0,-0.00010389444979212948,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3302908,71.5438234006795,,0.000821590513130116,0,-0.000821590513130116,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3303203,0.0,,0.00010272342839279915,0,-0.00010272342839279915,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3303302,2.1125722180964,,0.0308121674835127,0,-0.0308121674835127,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3303500,14.5370859133176,,0.2083454844047181,0,-0.2083454844047181,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3303609,134.23753731509152,,1.8461904503507993,3,1.1538095496492007,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3303906,0.0,,2.233663601426319e-11,0,-2.233663601426319e-11,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3304003,18.6655828527888,,0.10943048380933486,2,1.890569516190665,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3304144,0.0,,0.00010458075933791455,0,-0.00010458075933791455,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3304409,0.0,,4.748496971669076e-09,0,-4.748496971669076e-09,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3304557,291.85157589249485,,4.179485693231229,1,-3.1794856932312294,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3304904,0.0,,0.0005999716958846217,0,-0.0005999716958846217,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3305109,14.9260028959928,,0.21364606887242357,1,0.7863539311275765,"historical 2010 survey prior, adjusted to modeled margins"
3301801,3305554,5.1033477036813,,0.07302518087190228,1,0.9269748191280978,"historical 2010 survey prior, adjusted to modeled margins"
3301850,3300456,0.0,,0.02672037284921921,0,-0.02672037284921921,"historical 2010 survey prior, adjusted to modeled margins"
3301850,3300803,141.6798939163049,,1.3161121487863385,64,62.68388785121366,"historical 2010 survey prior, adjusted to modeled margins"
