origin,destination,observed_2010_expanded,observed_2022_pair,seed_from_2022_containment_2010_shares,balanced_target,change_from_seed,status,actual,target_error,difference_from_historical_2010,historical_change_percent
3300456,3300456,52638.45445301621,,94319.29451320355,94319,-0.294513203567476,2022 local containment,94319,0,41680.54554698379,79.18269253932374
3300456,3300803,0.0,,0.0009752547255506,0,-0.0009752547255506,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3300456,3301702,11616.498136437427,,7924.717202380129,11442,3517.2827976198714,"historical 2010 survey prior, adjusted to modeled margins",11442,0,-174.4981364374271,-1.5021578309394241
3300456,3301801,0.0,,5.019410049900113e-06,0,-5.019410049900113e-06,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3300456,3301850,0.0,,0.0600169696109909,1,0.9399830303890092,"historical 2010 survey prior, adjusted to modeled margins",1,0,1.0,
3300456,3301900,20.9037744870769,,14.294157600759045,45,30.705842399240957,"historical 2010 survey prior, adjusted to modeled margins",45,0,24.0962255129231,115.27212718363296
3300456,3302007,160.28831868432562,,110.17586400973748,358,247.82413599026253,"historical 2010 survey prior, adjusted to modeled margins",358,0,197.71168131567438,123.34752958826085
3300456,3302270,42.5197702241056,,29.387389440729685,239,209.6126105592703,"historical 2010 survey prior, adjusted to modeled margins",239,0,196.4802297758944,462.09146648799265
3300456,3302502,137.4729016340931,,91.84140922098476,179,87.15859077901523,"historical 2010 survey prior, adjusted to modeled margins",179,0,41.52709836590691,30.20747934486621
3300456,3302601,20.2002471434713,,0.0557494753136181,2,1.944250524686382,"historical 2010 survey prior, adjusted to modeled margins",2,0,-18.2002471434713,-90.09913103639231
3300456,3302700,0.0,,0.2195256685164602,3,2.7804743314835396,"historical 2010 survey prior, adjusted to modeled margins",3,0,3.0,
3300456,3302809,0.0,,0.0,0,0.0,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3300456,3302858,778.3596646488935,,531.7658666823631,1352,820.2341333176369,"historical 2010 survey prior, adjusted to modeled margins",1352,0,573.6403353511065,73.69862049697387
3300456,3302908,0.0,,5.255851531131244e-07,0,-5.255851531131244e-07,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3300456,3303203,535.3915416066174,,365.94532020964976,306,-59.945320209649765,"historical 2010 survey prior, adjusted to modeled margins",306,0,-229.39154160661735,-42.845566987900675
3300456,3303302,1029.6183426029995,,706.0707612270919,472,-234.0707612270919,"historical 2010 survey prior, adjusted to modeled margins",472,0,-557.6183426029995,-54.15777084868875
3300456,3303500,10622.587390965213,,7252.555072506912,4208,-3044.5550725069124,"historical 2010 survey prior, adjusted to modeled margins",4208,0,-6414.587390965213,-60.38629907079876
3300456,3303609,0.0,,0.2622916390984068,2,1.737708360901593,"historical 2010 survey prior, adjusted to modeled margins",2,0,2.0,
3300456,3303906,86.28312405293559,,0.0115816498181622,1,0.9884183501818378,"historical 2010 survey prior, adjusted to modeled margins",1,0,-85.28312405293559,-98.84102481107837
3300456,3304003,0.0,,0.0464602663743761,5,4.9535397336256235,"historical 2010 survey prior, adjusted to modeled margins",5,0,5.0,
3300456,3304144,384.7923221693905,,263.17881441905865,600,336.82118558094135,"historical 2010 survey prior, adjusted to modeled margins",600,0,215.2076778306095,55.92826712791643
3300456,3304409,0.0,,2.617644802580437e-05,0,-2.617644802580437e-05,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3300456,3304557,66861.70524745512,,45674.76086088664,45542,-132.76086088663578,"historical 2010 survey prior, adjusted to modeled margins",45542,0,-21319.705247455116,-31.886272072408126
3300456,3304904,37.0271824199017,,28.57666542934956,0,-28.57666542934956,"historical 2010 survey prior, adjusted to modeled margins",0,0,-37.0271824199017,-100.0
3300456,3305109,5920.713033646747,,4042.328575620618,2247,-1795.3285756206178,"historical 2010 survey prior, adjusted to modeled margins",2247,0,-3673.713033646747,-62.048489983713935
3300456,3305554,17.2730410881408,,12.253985016622176,45,32.746014983377826,"historical 2010 survey prior, adjusted to modeled margins",45,0,27.7269589118592,160.521582565422
3300803,3300456,0.0,,0.001623872092059,0,-0.001623872092059,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3300803,3300803,15772.890894331777,,22.89905636245763,23,0.1009436375423682,2022 local containment,23,0,-15749.890894331777,-99.85418018704317
3300803,3301702,21.2251769542484,,0.6405320120469161,0,-0.6405320120469161,"historical 2010 survey prior, adjusted to modeled margins",0,0,-21.2251769542484,-100.0
3300803,3301801,0.0,,5.0431921831311165e-09,0,-5.0431921831311165e-09,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3300803,3301850,21.3749145943963,,0.3521170776003005,4,3.6478829223996994,"historical 2010 survey prior, adjusted to modeled margins",4,0,-17.3749145943963,-81.28647493614477
3300803,3301900,474.7060157956256,,13.338007449085204,30,16.661992550914796,"historical 2010 survey prior, adjusted to modeled margins",30,0,-444.7060157956256,-93.6802991742755
3300803,3302007,0.0,,0.0007989869792908,0,-0.0007989869792908,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3300803,3302270,0.0,,0.0003714371102492,0,-0.0003714371102492,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3300803,3302502,40.9973291930488,,1.1931309341112633,1,-0.1931309341112632,"historical 2010 survey prior, adjusted to modeled margins",1,0,-39.9973291930488,-97.560816717374
3300803,3302601,0.0,,1.1215677749014638e-08,0,-1.1215677749014638e-08,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3300803,3302700,16.8087290751862,,0.2328235654742416,1,0.7671764345257583,"historical 2010 survey prior, adjusted to modeled margins",1,0,-15.8087290751862,-94.05071022605603
3300803,3302809,0.0,,0.0,0,0.0,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3300803,3302858,0.0,,0.0005754395925832,0,-0.0005754395925832,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3300803,3302908,0.0,,5.28075393203356e-10,0,-5.28075393203356e-10,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3300803,3303203,0.0,,0.0005689536630818,0,-0.0005689536630818,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
