id,municipality_code,population,census_worker_estimate,employed_pnad_calibrated,non_employed_estimated
RES_5185,3304557,741,372,419,322
RES_5186,3304557,3194,1328,1494,1700
RES_5187,3304557,4293,1782,2005,2288
RES_5188,3304557,5448,2212,2489,2959
RES_5189,3304557,4290,1942,2185,2105
RES_5190,3304557,808,425,478,330
RES_5191,3304557,4219,1824,2052,2167
RES_5192,3304557,1134,476,536,598
RES_5193,3304557,425,178,200,225
RES_5194,3304557,1082,458,515,567
RES_5195,3304557,218,116,131,87
RES_5196,3304557,118,50,56,62
RES_5197,3304557,729,351,395,334
RES_5198,3304557,277,158,178,99
RES_5199,3304557,2213,1048,1179,1034
RES_5200,3304557,2368,1170,1316,1052
RES_5201,3304557,1068,494,556,512
RES_5202,3304557,264,140,158,106
RES_5203,3304557,828,421,474,354
RES_5204,3304557,985,471,530,455
RES_5205,3304557,87,43,48,39
RES_5206,3304557,1264,630,709,555
RES_5207,3304557,129,58,65,64
RES_5208,3304557,3637,1736,1953,1684
RES_5209,3304557,255,112,126,129
RES_5210,3304557,1178,532,599,579
RES_5211,3304557,1374,653,735,639
RES_5212,3304557,1027,433,487,540
RES_5213,3304557,1341,628,707,634
RES_5214,3304557,534,247,278,256
RES_5215,3304557,534,250,281,253
RES_5216,3304557,931,408,459,472
RES_5217,3304557,11119,5328,5995,5124
RES_5218,3304557,682,324,365,317
RES_5219,3304557,70,31,35,35
RES_5220,3304557,1559,760,855,704
RES_5221,3304557,849,397,447,402
RES_5222,3304557,156,74,83,73
RES_5223,3304557,1314,628,707,607
RES_5224,3304557,473,231,260,213
RES_5225,3304557,879,407,458,421
RES_5226,3304557,102,50,56,46
RES_5227,3304557,15,7,8,7
RES_5228,3304557,180,77,87,93
RES_5229,3304557,100,44,50,50
RES_5230,3304557,99,48,54,45
RES_5231,3304557,458,224,252,206
RES_5232,3304557,555,287,323,232
RES_5233,3304557,785,367,413,372
RES_5234,3304557,14,6,7,7
RES_5235,3304557,166,101,114,52
RES_5236,3304557,60,27,30,30
RES_5237,3304557,1650,785,883,767
RES_5238,3304557,1266,583,656,610
RES_5239,3304557,429,175,197,232
RES_5240,3304557,1708,777,874,834
RES_5241,3304557,36,16,18,18
RES_5242,3304557,687,277,312,375
RES_5243,3304557,1541,724,815,726
RES_5244,3304557,971,430,484,487
RES_5245,3304557,1142,513,577,565
RES_5246,3304557,484,216,243,241
RES_5247,3304557,316,144,162,154
RES_5248,3304557,588,267,300,288
RES_5249,3304557,396,162,182,214
RES_5250,3304557,580,293,330,250
RES_5251,3304557,1417,662,745,672
RES_5252,3304557,1237,593,667,570
RES_5253,3304557,468,212,239,229
RES_5254,3304557,627,324,365,262
RES_5255,3304557,219,105,118,101
RES_5256,3304557,176,92,104,72
RES_5257,3304557,1087,496,558,529
RES_5258,3304557,1269,618,695,574
RES_5259,3304557,624,304,342,282
