id,municipality_code,population,census_worker_estimate,employed_pnad_calibrated,non_employed_estimated
RES_0292,3301702,5262,2079,2418,2844
RES_0293,3301702,720,297,345,375
RES_0294,3301702,443,156,181,262
RES_0295,3301702,1848,689,801,1047
RES_0296,3301702,2730,1090,1268,1462
RES_0297,3301702,5296,2129,2476,2820
RES_0298,3301702,1326,514,598,728
RES_0299,3301702,5116,2050,2384,2732
RES_0300,3301702,2678,1040,1209,1469
RES_0301,3301702,1852,738,858,994
RES_0302,3301702,1825,692,805,1020
RES_0303,3301702,1524,571,664,860
RES_0304,3301702,1253,463,538,715
RES_0305,3301702,2760,1032,1200,1560
RES_0306,3301702,6966,2697,3136,3830
RES_0307,3301702,1573,582,677,896
RES_0308,3301702,566,216,251,315
RES_0309,3301702,2362,878,1021,1341
RES_0310,3301702,4709,1847,2148,2561
RES_0311,3301702,1995,812,944,1051
RES_0312,3301702,363,143,166,197
RES_0313,3301702,4413,1740,2023,2390
RES_0314,3301702,4154,1578,1835,2319
RES_0315,3301702,2116,824,958,1158
RES_0316,3301702,7551,3083,3585,3966
RES_0317,3301702,8246,3170,3686,4560
RES_0318,3301702,1255,494,574,681
RES_0319,3301702,1945,797,927,1018
RES_0320,3301702,872,344,400,472
RES_0321,3301702,1359,520,605,754
RES_0322,3301702,1714,679,790,924
RES_0323,3301702,944,375,436,508
RES_0324,3301702,3166,1272,1479,1687
RES_0325,3301702,2620,1051,1222,1398
RES_0326,3301702,1583,640,744,839
RES_0327,3301702,5690,2242,2607,3083
RES_0328,3301702,2447,977,1136,1311
RES_0329,3301702,390,143,166,224
RES_0330,3301702,334,129,150,184
RES_0331,3301702,1382,561,652,730
RES_0332,3301702,1264,515,599,665
RES_0333,3301702,2326,900,1047,1279
RES_0334,3301702,357,131,152,205
RES_0335,3301702,10253,4030,4686,5567
RES_0336,3301702,2150,847,985,1165
RES_0337,3301702,1077,442,514,563
RES_0338,3301702,2956,1159,1348,1608
RES_0339,3301702,549,211,245,304
RES_0340,3301702,1255,484,563,692
RES_0341,3301702,4747,1897,2206,2541
RES_0342,3301702,1925,781,908,1017
RES_0343,3301702,8068,3234,3761,4307
RES_0344,3301702,6190,2476,2879,3311
RES_0345,3301702,253,107,124,129
RES_0346,3301702,2826,1145,1331,1495
RES_0347,3301702,5119,2073,2411,2708
RES_0348,3301702,1916,774,900,1016
RES_0349,3301702,28,11,13,15
RES_0350,3301702,899,348,405,494
RES_0351,3301702,923,358,416,507
RES_0352,3301702,394,158,184,210
RES_0353,3301702,1625,620,721,904
RES_0354,3301702,2671,1051,1222,1449
RES_0355,3301702,4386,1707,1985,2401
RES_0356,3301702,6666,2574,2993,3673
RES_0357,3301702,924,388,451,473
RES_0358,3301702,1765,700,814,951
RES_0359,3301702,6471,2522,2933,3538
RES_0360,3301702,1904,776,902,1002
RES_0361,3301702,201,77,90,111
RES_0362,3301702,2824,1129,1313,1511
RES_0363,3301702,501,204,237,264
RES_0364,3301702,749,309,359,390
RES_0365,3301702,4652,1941,2257,2395
RES_0366,3301702,1765,737,857,908
RES_0367,3301702,4266,1755,2041,2225
RES_0368,3301702,1670,682,793,877
RES_0369,3301702,788,315,366,422
RES_0370,3301702,1292,471,548,744
RES_0371,3301702,117,39,45,72
RES_0372,3301702,1256,539,627,629
RES_0373,3301702,301,116,135,166
RES_0374,3301702,1329,515,599,730
RES_0375,3301702,612,243,283,329
RES_0376,3301702,135,53,62,73
RES_0377,3301702,337,130,151,186
RES_0378,3301702,3399,1307,1520,1879
RES_0379,3301702,4351,1711,1990,2361
RES_0380,3301702,1382,540,628,754
RES_0381,3301702,3997,1545,1797,2200
RES_0382,3301702,9551,3762,4375,5176
RES_0383,3301702,6327,2483,2887,3440
RES_0384,3301702,1260,498,579,681
RES_0385,3301702,4138,1688,1963,2175
RES_0386,3301702,3991,1578,1835,2156
RES_0387,3301702,467,189,220,247
RES_0388,3301702,2281,872,1014,1267
RES_0389,3301702,3004,1170,1361,1643
RES_0390,3301702,5572,2171,2525,3047
RES_0391,3301702,5505,2102,2444,3061
RES_0392,3301702,1095,407,473,622
RES_0393,3301702,5662,2235,2599,3063
RES_0394,3301702,1694,654,761,933
RES_0395,3301702,1305,609,708,597
RES_0396,3301702,1021,413,480,541
RES_0397,3301702,4281,1707,1985,2296
RES_0398,3301702,1310,526,612,698
RES_0399,3301702,472,196,228,244
RES_0400,3301702,1412,551,641,771
RES_0401,3301702,8267,3334,3877,4390
RES_0402,3301702,4747,1920,2233,2514
RES_0403,3301702,333,136,158,175
RES_0404,3301702,2282,889,1034,1248
RES_0405,3301702,638,237,276,362
RES_0406,3301702,334,127,148,186
RES_0407,3301702,1928,742,863,1065
RES_0408,3301702,827,346,402,425
RES_0409,3301702,544,234,272,272
RES_0410,3301702,883,338,393,490
RES_0411,3301702,1200,518,602,598
RES_0412,3301702,1688,651,757,931
RES_0413,3301702,1376,541,629,747
RES_0414,3301702,795,339,394,401
RES_0415,3301702,926,365,424,502
RES_0416,3301702,4542,1798,2091,2451
RES_0417,3301702,6227,2444,2842,3385
RES_0418,3301702,986,387,450,536
RES_0419,3301702,4663,1834,2133,2530
RES_0420,3301702,2780,1096,1274,1506
RES_0421,3301702,1149,440,512,637
RES_0422,3301702,472,179,208,264
RES_0423,3301702,1559,622,723,836
RES_0424,3301702,88,35,41,47
RES_0425,3301702,757,310,360,397
RES_0426,3301702,1393,577,671,722
RES_0427,3301702,85,37,43,42
RES_0428,3301702,1107,441,513,594
RES_0429,3301702,802,343,399,403
RES_0430,3301702,271,104,121,150
RES_0431,3301702,222,86,100,122
RES_0432,3301702,4317,1688,1963,2354
RES_0433,3301702,725,283,329,396
RES_0434,3301702,4385,1766,2054,2331
RES_0435,3301702,6029,2459,2859,3170
RES_0436,3301702,280,106,123,157
RES_0437,3301702,5252,2124,2470,2782
RES_0438,3301702,1844,731,850,994
RES_0439,3301702,845,345,401,444
RES_0440,3301702,359,143,166,193
RES_0441,3301702,940,379,441,499
RES_0442,3301702,551,211,245,306
RES_0443,3301702,254,94,109,145
RES_0444,3301702,1427,600,698,729
RES_0445,3301702,174,68,79,95
RES_0446,3301702,6142,2434,2830,3312
RES_0447,3301702,982,427,497,485
RES_0448,3301702,7297,2971,3455,3842
RES_0449,3301702,2528,1028,1195,1333
RES_0450,3301702,1054,430,500,554
RES_0451,3301702,4313,1724,2005,2308
RES_0452,3301702,3070,1269,1476,1594
RES_0453,3301702,626,237,276,350
RES_0454,3301702,1461,574,667,794
RES_0455,3301702,875,342,398,477
RES_0456,3301702,1338,556,647,691
RES_0457,3301702,349,143,166,183
RES_0458,3301702,414,166,193,221
RES_0459,3301702,571,234,272,299
RES_0460,3301702,805,333,387,418
RES_0461,3301702,1395,561,652,743
RES_0462,3301702,1940,788,916,1024
RES_0463,3301702,1284,521,606,678
RES_0464,3301702,339,129,150,189
RES_0465,3301702,3328,1346,1565,1763
RES_0466,3301702,1125,431,501,624
RES_0467,3301702,217,81,94,123
RES_0468,3301702,315,124,144,171
RES_0469,3301702,119,52,60,59
RES_0470,3301702,374,143,166,208
RES_0471,3301702,613,238,277,336
RES_0472,3301702,3508,1413,1643,1865
RES_0473,3301702,147,59,69,78
RES_0474,3301702,503,210,244,259
RES_0475,3301702,181,77,90,91
RES_0476,3301702,478,186,216,262
RES_0477,3301702,163,63,73,90
RES_0478,3301702,739,298,347,392
RES_0479,3301702,338,134,156,182
RES_0480,3301702,38,15,17,21
RES_0481,3301702,1574,660,767,807
RES_0482,3301702,1291,518,602,689
RES_0483,3301702,2050,785,913,1137
RES_0484,3301702,2095,810,942,1153
RES_0485,3301702,1140,477,555,585
RES_0486,3301702,1413,586,681,732
RES_0487,3301702,263,111,129,134
RES_0488,3301702,1114,445,517,597
RES_0489,3301702,2650,1054,1226,1424
RES_0490,3301702,2032,832,968,1064
RES_0491,3301702,377,151,176,201
RES_0492,3301702,242,98,114,128
RES_0493,3301702,270,109,127,143
RES_0494,3301702,1525,626,728,797
RES_0495,3301702,2075,878,1021,1054
RES_0496,3301702,1235,520,605,630
RES_0497,3301702,1150,458,533,617
RES_0498,3301702,523,216,251,272
RES_0499,3301702,3595,1470,1709,1886
RES_0500,3301702,4299,1756,2042,2257
RES_0501,3301702,707,324,377,330
RES_0502,3301702,2452,1011,1176,1276
RES_0503,3301702,1018,441,513,505
RES_0504,3301702,5435,2269,2639,2796
RES_0505,3301702,5104,2001,2327,2777
RES_0506,3301702,2869,1156,1344,1525
RES_0507,3301702,3724,1500,1744,1980
RES_0508,3301702,4221,1703,1980,2241
RES_0509,3301702,338,125,145,193
RES_0510,3301702,153,59,69,84
RES_0511,3301702,3323,1371,1594,1729
RES_0512,3301702,240,88,102,138
RES_0513,3301702,1182,468,544,638
RES_0514,3301702,5419,2194,2551,2868
RES_0515,3301702,948,372,433,515
RES_0516,3301702,777,314,365,412
RES_0517,3301702,2794,1131,1315,1479
RES_0518,3301702,3707,1552,1805,1902
RES_0519,3301702,5372,2165,2518,2854
RES_0520,3301702,4412,1776,2065,2347
RES_0521,3301702,2644,1029,1197,1447
RES_0522,3301702,1188,461,536,652
RES_0523,3301702,4035,1648,1916,2119
RES_0524,3301702,4338,1729,2011,2327
RES_0525,3301702,2968,1200,1395,1573
RES_0526,3301702,2554,998,1161,1393
RES_0527,3301702,5667,2238,2602,3065
RES_0528,3301702,2019,800,930,1089
RES_0529,3301702,701,273,317,384
RES_0530,3301702,438,177,206,232
RES_0531,3301702,1320,509,592,728
RES_0532,3301702,403,163,190,213
RES_0533,3301702,131,53,62,69
RES_0534,3301702,325,125,145,180
RES_0535,3301702,1176,439,511,665
RES_0536,3301702,312,125,145,167
RES_0537,3301702,1531,617,717,814
RES_0538,3301702,419,163,190,229
RES_0539,3301702,761,297,345,416
RES_0540,3301702,1411,587,683,728
RES_0541,3301702,788,299,348,440
RES_0542,3301702,2045,809,941,1104
RES_0543,3301702,2742,1105,1285,1457
RES_0544,3301702,80,30,35,45
RES_0545,3301702,563,235,273,290
RES_0546,3301702,645,266,309,336
RES_0547,3301702,74,33,38,36
RES_0548,3301702,580,220,256,324
RES_0549,3301702,412,173,201,211
RES_0550,3301702,2163,889,1034,1129
RES_0551,3301702,1448,606,705,743
RES_0552,3301702,616,253,294,322
RES_0553,3301702,2931,1197,1392,1539
RES_0554,3301702,3095,1252,1456,1639
RES_0555,3301702,423,163,190,233
RES_0556,3301702,1912,753,876,1036
RES_0557,3301702,584,230,267,317
RES_0558,3301702,768,340,395,373
RES_0559,3301702,712,272,316,396
RES_0560,3301702,1019,403,469,550
RES_0561,3301702,1237,469,545,692
RES_0562,3301702,2186,856,995,1191
RES_0563,3301702,384,153,178,206
RES_0564,3301702,2729,1069,1243,1486
RES_0565,3301702,714,284,330,384
RES_0566,3301702,1730,663,771,959
RES_0567,3301702,525,220,256,269
RES_0568,3301702,477,199,231,246
RES_0569,3301702,1461,597,694,767
RES_0570,3301702,3650,1450,1686,1964
RES_0571,3301702,2052,826,961,1091
RES_0572,3301702,1831,758,881,950
RES_0573,3301702,4151,1703,1980,2171
RES_0574,3301702,1909,796,926,983
RES_0575,3301702,1298,510,593,705
RES_0576,3301702,3602,1436,1670,1932
RES_0577,3301702,1591,657,764,827
RES_0578,3301702,176,72,84,92
RES_0579,3301702,426,192,223,203
RES_0580,3301702,501,194,226,275
RES_0581,3301702,360,145,169,191
RES_0582,3301702,2112,839,976,1136
RES_0583,3301702,3532,1433,1666,1866
RES_0584,3301702,3403,1403,1631,1772
RES_0585,3301702,817,324,377,440
RES_0586,3301702,961,391,455,506
RES_0587,3301702,3727,1472,1712,2015
RES_0588,3301702,4232,1669,1941,2291
RES_0589,3301702,3781,1531,1780,2001
RES_0590,3301702,646,255,297,349
RES_0591,3301702,2599,1040,1209,1390
RES_0592,3301702,2137,847,985,1152
RES_0593,3301702,1176,456,530,646
RES_0594,3301702,650,248,288,362
RES_0595,3301702,2851,1118,1300,1551
RES_0596,3301702,17,7,8,9
RES_0597,3301702,1090,413,480,610
RES_0598,3301702,2011,798,928,1083
RES_0599,3301702,1177,476,554,623
RES_0600,3301702,2598,1034,1202,1396
RES_0601,3301702,3953,1584,1842,2111
RES_0602,3301702,851,339,394,457
RES_0603,3301702,589,241,280,309
RES_0604,3301702,368,154,179,189
RES_0605,3301702,1325,543,631,694
RES_0606,3301702,707,319,371,336
RES_0607,3301702,1616,673,783,833
RES_0608,3301702,4922,1996,2321,2601
RES_0609,3301702,2407,977,1136,1271
RES_0610,3301702,705,288,335,370
RES_0611,3301702,3957,1559,1813,2144
RES_0612,3301702,4850,1868,2172,2678
RES_0613,3301702,2990,1173,1364,1626
RES_0614,3301702,1454,604,702,752
RES_0615,3301702,731,275,320,411
RES_0616,3301702,714,279,324,390
RES_0617,3301702,464,197,229,235
RES_0618,3301702,2242,869,1011,1231
RES_0619,3301702,1710,687,799,911
RES_0620,3301702,1210,489,569,641
RES_0621,3301702,3996,1573,1829,2167
RES_0622,3301702,2678,1068,1242,1436
RES_0623,3301702,2161,817,950,1211
RES_0624,3301702,197,83,97,100
RES_0625,3301702,2198,906,1054,1144
RES_0626,3301702,2482,1011,1176,1306
RES_0627,3301702,511,199,231,280
RES_0628,3301702,121,45,52,69
RES_0629,3301702,1056,417,485,571
RES_0630,3301702,4125,1606,1868,2257
RES_0631,3301702,2980,1193,1387,1593
RES_0632,3301702,154,64,74,80
RES_0633,3301702,2043,771,897,1146
RES_0634,3301702,2043,803,934,1109
RES_0635,3301702,1355,550,640,715
RES_0636,3301702,1142,450,523,619
RES_0637,3301702,668,238,277,391
RES_0638,3301702,883,350,407,476
RES_0639,3301702,1472,588,684,788
RES_0640,3301702,2199,840,977,1222
RES_0641,3301702,3679,1489,1732,1947
RES_0642,3301702,2199,896,1042,1157
RES_0643,3301702,89,35,41,48
RES_0644,3301702,1671,634,737,934
RES_0645,3301702,3665,1437,1671,1994
RES_0646,3301702,898,368,428,470
RES_0647,3301702,387,159,185,202
RES_0648,3301702,1510,607,706,804
RES_0649,3301702,2539,1017,1183,1356
RES_0650,3301702,2272,919,1069,1203
RES_0651,3301702,1299,543,631,668
RES_0652,3301702,1183,477,555,628
RES_0653,3301702,1908,776,902,1006
RES_0654,3301702,765,302,351,414
RES_0655,3301702,182,69,80,102
RES_0656,3301702,2110,857,997,1113
RES_0657,3301702,1950,756,879,1071
RES_0658,3301702,1593,653,759,834
RES_0659,3301702,1252,518,602,650
RES_0660,3301702,453,187,217,236
RES_0661,3301702,700,293,341,359
RES_0662,3301702,1481,613,713,768
RES_0663,3301702,319,127,148,171
RES_0664,3301702,98,40,47,51
RES_0665,3301702,352,134,156,196
RES_0666,3301702,750,273,317,433
RES_0667,3301702,819,319,371,448
RES_0668,3301702,48,22,26,22
RES_0669,3301702,185,79,92,93
RES_0670,3301702,260,94,109,151
RES_0671,3301702,804,320,372,432
RES_0672,3301702,1106,437,508,598
RES_0673,3301702,1354,538,626,728
RES_0674,3301702,1972,781,908,1064
RES_0675,3301702,1861,748,870,991
RES_0676,3301702,479,199,231,248
RES_0677,3301702,524,200,233,291
RES_0678,3301702,146,58,67,79
RES_0679,3301702,748,291,338,410
RES_0680,3301702,784,294,342,442
RES_0681,3301702,56,24,28,28
RES_0682,3301702,12,5,6,6
RES_0683,3301702,91,35,41,50
RES_0684,3301702,128,51,59,69
RES_0685,3301702,553,213,248,305
RES_0686,3301702,238,89,104,134
RES_0687,3301702,410,204,237,173
RES_0688,3301702,1893,781,908,985
RES_0689,3301702,2117,871,1013,1104
RES_0690,3301702,788,317,369,419
RES_0691,3301702,406,156,181,225
RES_0692,3301702,462,178,207,255
RES_0693,3301702,220,98,114,106
RES_0694,3301702,2402,919,1069,1333
RES_0695,3301702,195,85,99,96
RES_0696,3301702,605,225,262,343
RES_0697,3301702,273,94,109,164
RES_0698,3301702,660,251,292,368
RES_0699,3301702,796,324,377,419
RES_0700,3301702,439,196,228,211
RES_0701,3301702,294,105,122,172
RES_0702,3301702,591,235,273,318
RES_0703,3301702,185,74,86,99
RES_0704,3301702,109,54,63,46
RES_0705,3301702,127,50,58,69
RES_0706,3301702,481,197,229,252
RES_0707,3301702,613,248,288,325
RES_0708,3301702,349,137,159,190
RES_0709,3301702,2738,1113,1294,1444
RES_0710,3301702,57,24,28,29
RES_0711,3301702,1329,548,637,692
RES_0712,3301702,1883,753,876,1007
RES_0713,3301702,3505,1468,1707,1798
RES_0714,3301702,1768,688,800,968
RES_0715,3301702,473,183,213,260
RES_0716,3301702,2980,1207,1404,1576
RES_0717,3301702,6,2,2,4
RES_0718,3301702,800,323,376,424
RES_0719,3301702,38,15,17,21
RES_0720,3301702,33,13,15,18
RES_0721,3301702,85,34,40,45
RES_0722,3301702,9,4,5,4
RES_0723,3301702,394,151,176,218
RES_0724,3301702,119,47,55,64
RES_0725,3301702,211,85,99,112
RES_0726,3301702,74,28,33,41
RES_0727,3301702,283,109,127,156
RES_0728,3301702,101,43,50,51
RES_0729,3301702,9,4,5,4
RES_0730,3301702,163,61,71,92
RES_0731,3301702,47,19,22,25
RES_0732,3301702,137,55,64,73
RES_0733,3301702,127,47,55,72
RES_0734,3301702,63,25,29,34
RES_0735,3301702,142,54,63,79
RES_0736,3301702,40,16,19,21
RES_0737,3301702,297,118,137,160
RES_0738,3301702,68,27,31,37
RES_0739,3301801,124,58,64,60
RES_0740,3301801,17,7,8,9
RES_0741,3301801,26,11,12,14
RES_0742,3301850,966,377,438,528
RES_0743,3301850,379,151,176,203
RES_0744,3301850,681,284,330,351
RES_0745,3301850,2402,955,1111,1291
RES_0746,3301850,540,213,248,292
RES_0747,3301850,660,260,302,358
RES_0748,3301850,540,209,243,297
RES_0749,3301850,221,87,101,120
RES_0750,3301850,380,147,171,209
RES_0751,3301850,1,0,0,1
RES_0752,3301850,541,201,234,307
RES_0753,3301850,304,110,128,176
RES_0754,3301850,240,98,114,126
RES_0755,3301850,273,103,120,153
RES_0756,3301850,252,95,110,142
RES_0757,3301850,427,166,193,234
RES_0758,3301850,510,197,229,281
RES_0759,3301850,516,193,224,292
RES_0760,3301850,873,330,384,489
RES_0761,3301850,423,160,186,237
RES_0762,3301850,185,72,84,101
RES_0763,3301850,7,3,3,4
RES_0764,3301850,233,79,92,141
RES_0765,3301850,291,108,126,165
RES_0766,3301850,476,179,208,268
RES_0767,3301850,318,111,129,189
RES_0768,3301850,10,4,5,5
RES_0769,3301850,46,20,23,23
RES_0770,3301850,360,143,166,194
RES_0771,3301850,10,4,5,5
RES_0772,3301850,278,105,122,156
RES_0773,3301850,20,8,9,11
RES_0774,3301850,14,5,6,8
RES_0775,3301850,36,14,16,20
RES_0776,3301850,30,12,14,16
RES_0777,3301900,981,418,486,495
RES_0778,3301900,387,153,178,209
RES_0779,3301900,4248,1756,2042,2206
RES_0780,3301900,3886,1602,1863,2023
RES_0781,3301900,194,80,93,101
RES_0782,3301900,2325,963,1120,1205
RES_0783,3301900,2528,1015,1180,1348
RES_0784,3301900,283,111,129,154
RES_0785,3301900,252,102,119,133
RES_0786,3301900,609,251,292,317
RES_0787,3301900,936,390,454,482
RES_0788,3301900,299,129,150,149
RES_0789,3301900,2907,1333,1550,1357
RES_0790,3301900,2798,1145,1331,1467
RES_0791,3301900,158,59,69,89
RES_0792,3301900,510,197,229,281
RES_0793,3301900,497,207,241,256
RES_0794,3301900,525,214,249,276
RES_0795,3301900,19,8,9,10
RES_0796,3301900,1377,598,695,682
RES_0797,3301900,466,198,230,236
RES_0798,3301900,802,318,370,432
RES_0799,3301900,645,285,331,314
RES_0800,3301900,1608,694,807,801
RES_0801,3301900,15,6,7,8
RES_0802,3301900,620,258,300,320
RES_0803,3301900,74,31,36,38
RES_0804,3301900,57,22,26,31
RES_0805,3301900,532,221,257,275
RES_0806,3301900,397,152,177,220
RES_0807,3301900,152,64,74,78
RES_0808,3301900,866,342,398,468
RES_0809,3301900,925,373,434,491
RES_0810,3301900,369,146,170,199
RES_0811,3301900,707,264,307,400
RES_0812,3301900,7113,2883,3353,3760
RES_0813,3301900,566,225,262,304
RES_0814,3301900,509,206,240,269
RES_0815,3301900,3971,1586,1844,2127
RES_0816,3301900,1782,715,831,951
RES_0817,3301900,222,84,98,124
RES_0818,3301900,4,2,2,2
RES_0819,3301900,197,75,87,110
RES_0820,3301900,1781,739,859,922
RES_0821,3301900,1775,774,900,875
RES_0822,3301900,1193,440,512,681
RES_0823,3301900,470,196,228,242
RES_0824,3301900,434,182,212,222
RES_0825,3301900,1130,456,530,600
RES_0826,3301900,291,117,136,155
RES_0827,3301900,3426,1399,1627,1799
RES_0828,3301900,55,22,26,29
RES_0829,3301900,2344,968,1126,1218
RES_0830,3301900,2722,1131,1315,1407
RES_0831,3301900,16,7,8,8
RES_0832,3301900,705,301,350,355
RES_0833,3301900,348,142,165,183
RES_0834,3301900,223,95,110,113
RES_0835,3301900,1006,402,467,539
RES_0836,3301900,1101,449,522,579
RES_0837,3301900,2897,1166,1356,1541
RES_0838,3301900,1261,507,590,671
RES_0839,3301900,1470,594,691,779
RES_0840,3301900,2234,861,1001,1233
RES_0841,3301900,1811,732,851,960
RES_0842,3301900,2990,1245,1448,1542
RES_0843,3301900,538,226,263,275
RES_0844,3301900,258,107,124,134
RES_0845,3301900,139,57,66,73
RES_0846,3301900,983,416,484,499
RES_0847,3301900,386,161,187,199
RES_0848,3301900,1749,669,778,971
RES_0849,3301900,105,41,48,57
RES_0850,3301900,1791,729,848,943
RES_0851,3301900,425,157,183,242
RES_0852,3301900,799,321,373,426
RES_0853,3301900,426,175,204,222
RES_0854,3301900,288,123,143,145
RES_0855,3301900,1010,418,486,524
RES_0856,3301900,766,313,364,402
RES_0857,3301900,1737,697,811,926
RES_0858,3301900,803,329,383,420
RES_0859,3301900,1063,434,505,558
RES_0860,3301900,2047,837,973,1074
RES_0861,3301900,174,73,85,89
RES_0862,3301900,833,339,394,439
RES_0863,3301900,349,152,177,172
RES_0864,3301900,1080,445,517,563
RES_0865,3301900,2271,915,1064,1207
RES_0866,3301900,670,281,327,343
RES_0867,3301900,110,44,51,59
RES_0868,3301900,117,47,55,62
RES_0869,3301900,155,65,76,79
RES_0870,3301900,1656,693,806,850
RES_0871,3301900,1178,473,550,628
RES_0872,3301900,20,8,9,11
RES_0873,3301900,36,15,17,19
RES_0874,3301900,38,16,19,19
RES_0875,3301900,342,137,159,183
RES_0876,3301900,822,343,399,423
RES_0877,3301900,1011,413,480,531
RES_0878,3301900,234,97,113,121
RES_0879,3301900,829,338,393,436
RES_0880,3301900,689,277,322,367
RES_0881,3301900,205,85,99,106
RES_0882,3301900,780,313,364,416
RES_0883,3301900,827,396,460,367
RES_0884,3301900,292,137,159,133
RES_0885,3301900,191,71,83,108
RES_0886,3301900,1907,752,874,1033
RES_0887,3301900,803,347,404,399
RES_0888,3301900,370,142,165,205
RES_0889,3301900,384,152,177,207
RES_0890,3301900,160,69,80,80
RES_0891,3301900,100,39,45,55
RES_0892,3301900,141,53,62,79
RES_0893,3301900,428,174,202,226
RES_0894,3301900,1388,546,635,753
RES_0895,3301900,411,163,190,221
RES_0896,3301900,158,62,72,86
RES_0897,3301900,38,15,17,21
RES_0898,3301900,124,47,55,69
RES_0899,3301900,16,7,8,8
RES_0900,3301900,27,11,13,14
RES_0901,3301900,149,61,71,78
RES_0902,3301900,196,75,87,109
RES_0903,3301900,53,22,26,27
RES_0904,3301900,18,7,8,10
RES_0905,3301900,444,181,210,234
RES_0906,3301900,434,155,180,254
RES_0907,3301900,194,70,81,113
RES_0908,3301900,81,33,38,43
RES_0909,3301900,192,81,94,98
RES_0910,3301900,56,23,27,29
RES_0911,3301900,1391,566,658,733
RES_0912,3301900,1986,796,926,1060
RES_0913,3301900,136,52,60,76
RES_0914,3301900,693,272,316,377
RES_0915,3301900,1470,610,709,761
RES_0916,3301900,616,256,298,318
RES_0917,3301900,2010,771,897,1113
RES_0918,3301900,379,152,177,202
RES_0919,3301900,220,74,86,134
RES_0920,3301900,774,279,324,450
RES_0921,3301900,411,166,193,218
RES_0922,3301900,16,6,7,9
RES_0923,3301900,705,268,312,393
RES_0924,3301900,1017,409,476,541
RES_0925,3301900,656,251,292,364
RES_0926,3301900,553,215,250,303
RES_0927,3301900,2954,1173,1364,1590
RES_0928,3301900,335,145,169,166
RES_0929,3301900,69,28,33,36
RES_0930,3301900,2170,895,1041,1129
RES_0931,3301900,500,202,235,265
RES_0932,3301900,3,1,1,2
RES_0933,3301900,10,4,5,5
RES_0934,3301900,113,42,49,64
RES_0935,3301900,306,126,147,159
RES_0936,3301900,181,69,80,101
RES_0937,3301900,10,4,5,5
RES_0938,3301900,693,269,313,380
RES_0939,3301900,353,136,158,195
RES_0940,3301900,64,26,30,34
RES_0941,3301900,2,1,1,1
RES_0942,3301900,494,197,229,265
RES_0943,3301900,554,208,242,312
RES_0944,3301900,439,176,205,234
RES_0945,3301900,3660,1512,1758,1902
RES_0946,3301900,837,389,452,385
RES_0947,3301900,436,191,222,214
RES_0948,3301900,3003,1216,1414,1589
RES_0949,3301900,3088,1311,1525,1563
RES_0950,3301900,99,37,43,56
RES_0951,3301900,165,64,74,91
RES_0952,3301900,166,68,79,87
RES_0953,3301900,1108,440,512,596
RES_0954,3301900,693,296,344,349
RES_0955,3301900,160,76,88,72
RES_0956,3301900,390,160,186,204
RES_0957,3301900,1278,543,631,647
RES_0958,3301900,1500,642,747,753
RES_0959,3301900,348,141,164,184
RES_0960,3301900,3105,1245,1448,1657
RES_0961,3301900,413,157,183,230
RES_0962,3301900,900,350,407,493
RES_0963,3301900,520,206,240,280
RES_0964,3301900,1060,450,523,537
RES_0965,3301900,2313,898,1044,1269
RES_0966,3301900,2812,1130,1314,1498
RES_0967,3301900,1129,460,535,594
RES_0968,3301900,854,339,394,460
RES_0969,3301900,81,35,41,40
RES_0970,3301900,2349,996,1158,1191
RES_0971,3301900,2364,939,1092,1272
RES_0972,3301900,413,172,200,213
RES_0973,3301900,532,218,254,278
RES_0974,3301900,3336,1471,1711,1625
RES_0975,3301900,3274,1298,1509,1765
RES_0976,3301900,570,217,252,318
RES_0977,3301900,2409,985,1145,1264
RES_0978,3301900,2761,1127,1311,1450
RES_0979,3301900,166,69,80,86
RES_0980,3301900,487,190,221,266
RES_0981,3301900,435,170,198,237
RES_0982,3301900,384,156,181,203
RES_0983,3301900,54,22,26,28
RES_0984,3301900,744,308,358,386
RES_0985,3301900,3178,1253,1457,1721
RES_0986,3301900,2100,844,981,1119
RES_0987,3301900,1995,822,956,1039
RES_0988,3301900,1798,723,841,957
RES_0989,3301900,455,206,240,215
RES_0990,3301900,66,27,31,35
RES_0991,3301900,203,73,85,118
RES_0992,3301900,44,17,20,24
RES_0993,3301900,9,4,5,4
RES_0994,3301900,322,133,155,167
RES_0995,3301900,465,170,198,267
RES_0996,3301900,1268,522,607,661
RES_0997,3301900,227,83,97,130
RES_0998,3301900,410,167,194,216
RES_0999,3301900,14,6,7,7
RES_1000,3301900,84,35,41,43
RES_1001,3301900,37,15,17,20
RES_1002,3301900,772,317,369,403
RES_1003,3301900,105,42,49,56
RES_1004,3301900,322,128,149,173
RES_1005,3301900,1049,434,505,544
RES_1006,3301900,73,30,35,38
RES_1007,3301900,492,195,227,265
RES_1008,3301900,57,27,31,26
RES_1009,3301900,317,119,138,179
RES_1010,3301900,1305,488,567,738
RES_1011,3301900,275,106,123,152
RES_1012,3301900,375,149,173,202
RES_1013,3301900,20,8,9,11
RES_1014,3301900,996,402,467,529
RES_1015,3301900,214,77,90,124
RES_1016,3301900,343,127,148,195
RES_1017,3301900,170,66,77,93
RES_1018,3301900,60,24,28,32
RES_1019,3301900,21,9,10,11
RES_1020,3301900,1,0,0,1
RES_1021,3301900,8,3,3,5
RES_1022,3301900,12,8,9,3
