id,road_connector_m,over_1500m
RES_0000,49.12920429423034,False
RES_0001,46.35539883129106,False
RES_0002,2.8361083253016575,False
RES_0003,88.14910769658252,False
RES_0004,28.446673737430896,False
RES_0005,14.661493600398543,False
RES_0006,33.17503161334464,False
RES_0007,76.07935449121574,False
RES_0008,1.478059366849149,False
RES_0009,3.2418694509956505,False
RES_0010,0.8865732406281155,False
RES_0011,57.26583000056905,False
RES_0012,15.013555767052182,False
RES_0013,32.78228888793362,False
RES_0014,15.06175585978103,False
RES_0015,3.961380704938936,False
RES_0016,12.349833346681585,False
RES_0017,31.878077930597254,False
RES_0018,9.780610062896676,False
RES_0019,72.09536312224627,False
RES_0020,14.821684833885515,False
RES_0021,57.733776152411316,False
RES_0022,5.911888833119617,False
RES_0023,35.50312041724911,False
RES_0024,11.846497667823655,False
RES_0025,42.16604315160593,False
RES_0026,22.80085103238365,False
RES_0027,6.960324405091957,False
RES_0028,80.0233075800114,False
RES_0029,54.86193566718,False
RES_0030,37.3302340806387,False
RES_0031,86.29675424443148,False
RES_0032,19.36245078112141,False
RES_0033,41.10526124226288,False
RES_0034,9.921159996237904,False
RES_0035,4.496914422298564,False
RES_0036,77.12062059391513,False
RES_0037,5.701022557943083,False
RES_0038,64.77246424253029,False
RES_0039,38.29768789827242,False
RES_0040,15.77186379105672,False
RES_0041,80.63121622296593,False
RES_0042,51.45103581966931,False
RES_0043,17.810684621056165,False
RES_0044,24.941290673017072,False
RES_0045,5.566893651019656,False
RES_0046,17.243753129891545,False
RES_0047,25.328116847020993,False
RES_0048,261.6865816397575,False
RES_0049,7.495294223177881,False
RES_0050,16.78922149066483,False
RES_0051,5.805899305769581,False
RES_0052,13.031817017691749,False
RES_0053,7.999987564867785,False
RES_0054,40.45597751120282,False
RES_0055,11.405597958420254,False
RES_0056,60.75043862211307,False
RES_0057,6.698292876272727,False
RES_0058,4.7197404355559724,False
RES_0059,30.347436227651475,False
RES_0060,5.002314335596079,False
RES_0061,19.181527147790824,False
RES_0062,10.035557517899193,False
RES_0063,2.7358730557085043,False
RES_0064,7.433126664133784,False
RES_0065,12.360977285561553,False
RES_0066,3.7838592146263967,False
RES_0067,50.35795770673059,False
RES_0068,35.57518533055511,False
RES_0069,53.271143136606085,False
RES_0070,15.854995288158209,False
RES_0071,95.60357236587532,False
RES_0072,12.992674423730271,False
RES_0073,61.838237733107114,False
RES_0074,12.619064285947816,False
RES_0075,5.579549862222349,False
RES_0076,16.157569246349336,False
RES_0077,28.921794819400063,False
RES_0078,7.1510998560868915,False
RES_0079,37.68182281892194,False
RES_0080,68.7615086618286,False
RES_0081,5.0772492094296195,False
RES_0082,53.16659308521086,False
RES_0083,5.8581440372764,False
RES_0084,38.78882385953862,False
RES_0085,11.09223875025882,False
RES_0086,46.25424286298192,False
RES_0087,9.594992791704135,False
RES_0088,20.934040442044143,False
RES_0089,18.375808715943045,False
RES_0090,11.725557106970601,False
RES_0091,9.78811237455819,False
RES_0092,22.503299899253076,False
RES_0093,10.047124655566044,False
RES_0094,59.588054439885845,False
RES_0095,7.48604260832492,False
RES_0096,14.518256028334127,False
RES_0097,6.3796043522140495,False
RES_0098,12.537831563044666,False
RES_0099,40.80253058916633,False
RES_0100,9.044169424865672,False
RES_0101,30.357004743747773,False
RES_0102,73.08699430418436,False
RES_0103,10.232787985306231,False
RES_0104,7.051934168679475,False
RES_0105,4.243019108500092,False
RES_0106,87.24935835490841,False
RES_0107,8.052488892408345,False
RES_0108,40.34211208103613,False
RES_0109,6.348542739338599,False
RES_0110,13.170365649705754,False
RES_0111,4.621178229622891,False
RES_0112,1.5113451977581918,False
RES_0113,3.6395020587310385,False
RES_0114,10.305269768623674,False
RES_0115,6.168794411413219,False
RES_0116,7.512351965551984,False
RES_0117,16.3215436496958,False
RES_0118,49.61880724779387,False
RES_0119,64.24469739388914,False
RES_0120,37.91181792825386,False
RES_0121,13.388491381242629,False
RES_0122,13.13742317642503,False
RES_0123,9.254769769316606,False
RES_0124,109.36399375002772,False
RES_0125,4.68480466165882,False
RES_0126,39.044108200946326,False
RES_0127,4.5550493786683015,False
RES_0128,14.897893179803496,False
RES_0129,7.785685370988464,False
RES_0130,35.81267696611801,False
RES_0131,16.25464969555545,False
RES_0132,26.790689047650666,False
RES_0133,10.32722461794244,False
RES_0134,38.4916925652724,False
RES_0135,24.026460578503844,False
RES_0136,10.589351717255509,False
RES_0137,14.004152399527227,False
RES_0138,95.54211162672159,False
RES_0139,11.409038413627211,False
RES_0140,16.24693431608943,False
RES_0141,22.77359930852926,False
RES_0142,21.855936365067343,False
RES_0143,5.659024874971314,False
RES_0144,10.213724816041754,False
RES_0145,8.852563220346852,False
RES_0146,34.548780930254345,False
RES_0147,67.68552078869641,False
RES_0148,36.74099168808604,False
RES_0149,40.30699461693073,False
