municipality_code,municipality,bairro,residents,resident_workers,jobs,jobs_per_resident,covered_area_km2,jobs_per_km2,residents_per_km2
3300456,Belford Roxo,Municipal total,483087,161368,103099,0.21341704496291558,78.97643695778683,1305.440001745163,6116.849766952789
3300803,Cachoeiras de Macacu,Municipal total,1536,90,1313,0.8548177083333334,63.684778339323415,20.617171547714445,24.118793219565415
3301702,Duque de Caxias,Municipal total,804931,304556,283098,0.351704680276943,358.76906634732217,789.0814079437232,2243.5908652747426
3301801,Engenheiro Paulo de Frontin,Municipal total,167,8,79,0.47305389221556887,3.708349044038541,21.30328053315225,45.03351707641045
3301850,Guapimirim,Municipal total,13443,3265,6973,0.5187086215874432,191.79051591465122,36.35737651961402,70.09209989289708
3301900,Itaboraí,Municipal total,211029,79354,63495,0.30088281705358033,297.62477052299363,213.33909771160853,709.0438058269633
3302007,Itaguaí,Municipal total,116807,42637,50731,0.43431472428878404,267.5841677820035,189.58894474403183,436.5243316456629
3302270,Japeri,Municipal total,96289,27319,23582,0.2449085565329373,81.67341739935672,288.73531622524877,1178.951525062038
3302502,Magé,Municipal total,217290,76852,58239,0.26802429932348476,291.3625624118556,199.88498013576725,745.771859642179
3302601,Mangaratiba,Municipal total,1295,68,176,0.13590733590733592,29.940294504054577,5.87836569129825,43.252747558132015
3302700,Maricá,Municipal total,144406,37725,30355,0.21020594712131074,170.31525257905838,178.22831214667377,847.8747370730546
3302809,Mendes,Municipal total,3,0,0,0.0,7.435698003324357,0.0,0.4034590967329171
3302858,Mesquita,Municipal total,167127,56677,36535,0.2186062096489496,41.161349592907186,887.6045212641816,4060.2896079189513
3302908,Miguel Pereira,Municipal total,312,11,42,0.1346153846153846,23.8692633251596,1.7595850960230324,13.071203570456811
3303203,Nilópolis,Municipal total,146774,53425,36122,0.2461062586016597,19.390279243553977,1862.8922021330995,7569.462933278433
3303302,Niterói,Municipal total,481749,210797,217247,0.45095475029527826,133.7816720454844,1623.8920973131374,3601.00896209617
3303500,Nova Iguaçu,Municipal total,785862,271814,200853,0.255583041297327,480.7006282104538,417.83386210193447,1634.8262387873242
3303609,Paracambi,Municipal total,40508,15310,17389,0.42927322997926337,166.55501640238634,104.40394036520209,243.210927385911
3303906,Petrópolis,Municipal total,19,0,40,2.1052631578947367,0.12745810017663,313.8286224615654,149.06859566924356
3304003,Piraí,Municipal total,9087,1344,7226,0.7952019368328381,220.78970591694713,32.72797511093272,41.156810106981126
3304144,Queimados,Municipal total,140523,51947,36776,0.261708047792888,75.90567526649848,484.49605211840276,1851.2844989078287
3304409,Rio Claro,Municipal total,67,0,125,1.8656716417910448,17.759814706636636,7.038361720817332,3.77256188235809
3304557,Rio de Janeiro,Abolição,9196,3525,8987,0.9772727272727273,0.6163342808202127,14581.37293294829,14920.474629063367
3304557,Rio de Janeiro,Acari,29673,12314,14406,0.4854918612880396,1.605528605341686,8972.745768633713,18481.76351469306
3304557,Rio de Janeiro,Alto da Boa Vista,8116,3145,1268,0.15623459832429767,31.49575964889348,40.25938774410694,257.6854818069179
3304557,Rio de Janeiro,Anchieta,52569,21131,9561,0.18187524967185983,4.345738720899581,2200.0862486322794,12096.677544644945
3304557,Rio de Janeiro,Andaraí,34602,13232,9234,0.26686318709901163,2.2613064906583373,4083.480075852828,15301.77361757197
3304557,Rio de Janeiro,Anil,35271,14573,16027,0.45439596268889454,3.5004199916066203,4578.593436910392,10076.219449258528
3304557,Rio de Janeiro,Bancários,11062,4501,27,0.0024407882842162358,0.9780491822470423,27.605973697527368,11310.26966822399
3304557,Rio de Janeiro,Bangu,208450,84037,50137,0.24052290717198369,35.96629317697658,1393.999647205641,5795.704299419906
3304557,Rio de Janeiro,Barra Olímpica,55282,23279,34395,0.6221735827213197,10.973064767156297,3134.4934828917053,5037.972633267023
3304557,Rio de Janeiro,Barra da Tijuca,142263,53262,123033,0.8648278188988001,46.27171326400157,2658.924671711197,3074.513346595222
3304557,Rio de Janeiro,Barra de Guaratiba,4755,1929,1555,0.3270241850683491,9.442055273108398,164.6887203074042,503.59798396251256
3304557,Rio de Janeiro,Barros Filho,20567,8299,5457,0.26532795254533964,1.7238689744661708,3165.5538099639302,11930.721130571405
3304557,Rio de Janeiro,Benfica,19995,8127,9824,0.4913228307076769,1.736417437377088,5657.625746283367,11515.088232587126
3304557,Rio de Janeiro,Bento Ribeiro,37306,14156,14784,0.3962901409960864,3.037854785617508,4866.592066873545,12280.37632892211
3304557,Rio de Janeiro,Bonsucesso,16872,6657,44167,2.617769084874348,2.1997220823421655,20078.445524796913,7670.059838666279
3304557,Rio de Janeiro,Botafogo,76553,30264,81658,1.066685825506512,4.79896863335455,17015.739472112335,15951.96923520801
3304557,Rio de Janeiro,Brás de Pina,37766,14777,20708,0.5483238892125192,2.9561691149603906,7005.011957943233,12775.317829036321
3304557,Rio de Janeiro,Cachambi,37935,14648,9609,0.2533017002767892,2.250165812694361,4270.351965082133,16858.757601768208
3304557,Rio de Janeiro,Cacuia,10392,4177,0,0.0,2.0686916703234606,0.0,5023.4649025174
3304557,Rio de Janeiro,Caju,24116,10217,8295,0.34396251451318627,5.347499852760973,1551.1921885733575,4509.771045163965
3304557,Rio de Janeiro,Camorim,1111,489,83,0.0747074707470747,7.3520228331624295,11.289409987359633,151.11487344525966
3304557,Rio de Janeiro,Campinho,10312,3976,0,0.0,0.9845131250576219,0.0,10474.21282412711
3304557,Rio de Janeiro,Campo Grande,354167,142653,104903,0.2961964271092451,104.4454266851568,1004.3809798989334,3390.928748537845
3304557,Rio de Janeiro,Campo dos Afonsos,2851,1253,87,0.03051560855840056,3.2523016366892037,26.750286326013953,876.6099576490319
3304557,Rio de Janeiro,Cascadura,26895,10559,9172,0.3410299312139803,2.838978326770547,3230.7397043194487,9473.478450465718
3304557,Rio de Janeiro,Catete,23447,9365,24772,1.056510427773276,0.6810285409513407,36374.39330427409,34428.806709402335
3304557,Rio de Janeiro,Catumbi,12201,4951,0,0.0,0.5394598926666705,0.0,22617.066005941124
3304557,Rio de Janeiro,Cavalcanti,14956,6179,4663,0.31178122492645094,1.924154412790699,2423.402180720524,7772.764961367395
3304557,Rio de Janeiro,Centro,23774,9616,541176,22.76335492554892,5.424753712155855,99760.47369437733,4382.503107325762
3304557,Rio de Janeiro,Cidade Nova,4745,1945,21124,4.451844046364594,0.9348553754423102,22596.00848955439,5075.651405175894
3304557,Rio de Janeiro,Cidade Universitária,1303,543,3023,2.3200306983883348,4.690719087133944,644.4640883082748,277.7825693237453
3304557,Rio de Janeiro,Cidade de Deus,29798,11965,5923,0.19877172964628498,1.2730281816054203,4652.685687233164,23407.18016346004
3304557,Rio de Janeiro,Cocotá,3439,1340,124,0.0360569933120093,0.4901037386657039,253.0076598427654,7016.881791929599
3304557,Rio de Janeiro,Coelho Neto,26780,10525,5706,0.21306945481702763,2.5119771504573176,2271.517477362879,10660.924998909553
3304557,Rio de Janeiro,Colégio,26358,10587,5594,0.21223158054480612,2.2611163416526465,2473.9991909975556,11657.073771239466
3304557,Rio de Janeiro,Copacabana,129154,47733,43844,0.3394707093856946,4.1008610108341035,10691.413311538265,31494.36171057415
3304557,Rio de Janeiro,Cordovil,31093,12239,14300,0.4599105908082205,3.6750679109219715,3891.084558601403,8460.523928712828
3304557,Rio de Janeiro,Cosme Velho,6408,2405,5736,0.8951310861423221,0.8925424698155152,6426.584945796033,7179.490295094312
