municipality,bairro,population
Mesquita,Cruzeiro do Sul,3947
Mesquita,Edson Passos,13192
Mesquita,Jacutinga,10904
Mesquita,Juscelino,7086
Mesquita,Mesquita,44
Mesquita,Rocha Sobrinho,9230
Mesquita,Santa Terezinha,10656
Mesquita,Santo Elias,11257
Mesquita,Vila Emil,14522
Mesquita,Vila Norma,4198
Miguel Pereira,Miguel Pereira,312
Nilópolis,Cabral,11260
Nilópolis,Cabuís,6824
Nilópolis,Cabuís II,4749
Nilópolis,Centro,17257
Nilópolis,Centro de Olinda,9512
Nilópolis,Frigorífico,3001
Nilópolis,Manoel Reis,18308
Nilópolis,Manoel Reis II,4685
Nilópolis,Nossa Senhora de Fátima,11219
Nilópolis,Nova Cidade,8792
Nilópolis,Novo Horizonte,8767
Nilópolis,Paiol,10334
Nilópolis,Santos Dumont,14095
Nilópolis,Tropical,5213
Nilópolis,da Mina,12758
Niterói,Badu,7055
Niterói,Baldeador,4335
Niterói,Barreto,18699
Niterói,Boa Viagem,2486
Niterói,Cachoeira,2998
Niterói,Cafubá,4538
Niterói,Camboinhas,6137
Niterói,Cantagalo,9853
Niterói,Caramujo,8457
Niterói,Centro,17938
Niterói,Charitas,10509
Niterói,Cubango,8318
Niterói,Engenho do Mato,12866
Niterói,Engenhoca,16700
Niterói,Fonseca,46317
Niterói,Fátima,3783
Niterói,Gragoatá,250
Niterói,Icaraí,77247
Niterói,Ilha da Conceição,8399
Niterói,Ingá,15124
Niterói,Itacoatiara,2209
Niterói,Itaipu,7862
Niterói,Ititioca,5864
Niterói,Jacaré,4878
Niterói,Jardim Imbuí,1190
Niterói,Jurujuba,3770
Niterói,Largo da Batalha,9637
Niterói,Maceió,4054
Niterói,Maravista,10584
Niterói,Maria Paula,6427
Niterói,Matapaca,1055
Niterói,Morro do Estado,3111
Niterói,Muriqui,1073
Niterói,Piratininga,18492
Niterói,Ponta D'Areia,5657
Niterói,Pé Pequeno,3335
Niterói,Rio do Ouro,3619
Niterói,Santa Bárbara,6609
Niterói,Santa Rosa,34112
Niterói,Santana,6813
Niterói,Santo Antônio,5754
Niterói,Sapê,6465
Niterói,Serra Grande,10152
Niterói,São Domingos,4415
Niterói,São Francisco,8974
Niterói,São Lourenço,7114
Niterói,Tenente Jardim,3031
Niterói,Vila Progresso,3840
Niterói,Viradouro,2795
Niterói,Vital Brasil,2889
Niterói,Viçoso Jardim,4403
Niterói,Várzea das Moças,2799
Nova Iguaçu,Adrianópolis,4904
Nova Iguaçu,Ambaí,5812
Nova Iguaçu,Austin,23216
Nova Iguaçu,Boa Esperança,4775
Nova Iguaçu,Botafogo,4188
Nova Iguaçu,Cabuçu,29731
