group,municipality_code,municipality,bairro,residents,target_jobs,formal_component_estimated,informal_component_estimated,spatial_source,jobs,rounding_difference,resident_workers,rais_2023_formal_links,cempre_2024_municipality_persons
39,3304557,Rio de Janeiro,Cacuia,10765,5575,3567.2,2007.7,RAIS 2023 neighborhood shares + CEMPRE 2024,5571,-4,5358,3172.0,2997653
40,3304557,Rio de Janeiro,Caju,24116,15526,10627.37,4898.18,RAIS 2023 neighborhood shares + CEMPRE 2024,15517,-9,12003,9450.0,2997653
41,3304557,Rio de Janeiro,Camorim,1111,1635,1287.65,346.9,RAIS 2023 neighborhood shares + CEMPRE 2024,1659,24,553,1145.0,2997653
42,3304557,Rio de Janeiro,Campinho,13038,4694,2533.7,2160.17,RAIS 2023 neighborhood shares + CEMPRE 2024,4696,2,6489,2253.0,2997653
43,3304557,Rio de Janeiro,Campo Grande,358709,138648,77962.13,60685.67,RAIS 2023 neighborhood shares + CEMPRE 2024,138679,31,178527,69325.0,2997653
44,3304557,Rio de Janeiro,Campo dos Afonsos,2851,1698,1136.96,560.92,RAIS 2023 neighborhood shares + CEMPRE 2024,1685,-13,1420,1011.0,2997653
45,3304557,Rio de Janeiro,Cascadura,26895,11192,6537.24,4655.15,RAIS 2023 neighborhood shares + CEMPRE 2024,11189,-3,13384,5813.0,2997653
46,3304557,Rio de Janeiro,Catete,21922,12679,8415.3,4263.38,RAIS 2023 neighborhood shares + CEMPRE 2024,12688,9,10911,7483.0,2997653
47,3304557,Rio de Janeiro,Catumbi,11264,2948,1228.05,1720.26,RAIS 2023 neighborhood shares + CEMPRE 2024,2935,-13,5606,1092.0,2997653
48,3304557,Rio de Janeiro,Cavalcanti,14956,2970,810.83,2159.56,RAIS 2023 neighborhood shares + CEMPRE 2024,2968,-2,7443,721.0,2997653
49,3304557,Rio de Janeiro,Centro,29276,509840,439136.23,70703.79,RAIS 2023 neighborhood shares + CEMPRE 2024,509978,138,14570,390486.0,2997653
50,3304557,Rio de Janeiro,Cidade Nova,4745,26576,22509.77,4065.96,RAIS 2023 neighborhood shares + CEMPRE 2024,26602,26,2361,20016.0,2997653
51,3304557,Rio de Janeiro,Cidade Universitária,1303,24694,21282.85,3410.9,RAIS 2023 neighborhood shares + CEMPRE 2024,24689,-5,649,18925.0,2997653
52,3304557,Rio de Janeiro,Cidade de Deus,29798,6114,1785.85,4328.55,RAIS 2023 neighborhood shares + CEMPRE 2024,6116,2,14831,1588.0,2997653
53,3304557,Rio de Janeiro,Cocotá,5021,1813,980.64,832.64,RAIS 2023 neighborhood shares + CEMPRE 2024,1816,3,2499,872.0,2997653
54,3304557,Rio de Janeiro,Coelho Neto,26780,21295,15321.4,5974.07,RAIS 2023 neighborhood shares + CEMPRE 2024,21296,1,13329,13624.0,2997653
55,3304557,Rio de Janeiro,Colégio,26358,5849,1962.41,3886.99,RAIS 2023 neighborhood shares + CEMPRE 2024,5853,4,13119,1745.0,2997653
56,3304557,Rio de Janeiro,Copacabana,128649,84628,58260.45,26368.0,RAIS 2023 neighborhood shares + CEMPRE 2024,84651,23,64028,51806.0,2997653
57,3304557,Rio de Janeiro,Cordovil,32932,14452,8653.71,5798.69,RAIS 2023 neighborhood shares + CEMPRE 2024,14444,-8,16391,7695.0,2997653
58,3304557,Rio de Janeiro,Cosme Velho,6408,4110,2810.35,1299.47,RAIS 2023 neighborhood shares + CEMPRE 2024,4118,8,3189,2499.0,2997653
59,3304557,Rio de Janeiro,Cosmos,97570,17357,3534.58,13821.9,RAIS 2023 neighborhood shares + CEMPRE 2024,17351,-6,48561,3143.0,2997653
60,3304557,Rio de Janeiro,Costa Barros,25778,3992,418.35,3573.43,RAIS 2023 neighborhood shares + CEMPRE 2024,3982,-10,12828,372.0,2997653
61,3304557,Rio de Janeiro,Curicica,29038,11171,6265.08,4905.59,RAIS 2023 neighborhood shares + CEMPRE 2024,11152,-19,14452,5571.0,2997653
62,3304557,Rio de Janeiro,Del Castilho,20597,26389,20474.27,5915.08,RAIS 2023 neighborhood shares + CEMPRE 2024,26382,-7,10252,18206.0,2997653
63,3304557,Rio de Janeiro,Deodoro,9037,2890,1440.6,1449.32,RAIS 2023 neighborhood shares + CEMPRE 2024,2876,-14,4498,1281.0,2997653
64,3304557,Rio de Janeiro,Encantado,12405,3115,1238.17,1877.15,RAIS 2023 neighborhood shares + CEMPRE 2024,3119,4,6174,1101.0,2997653
65,3304557,Rio de Janeiro,Engenheiro Leal,6633,1743,728.73,1013.85,RAIS 2023 neighborhood shares + CEMPRE 2024,1750,7,3301,648.0,2997653
